"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr","pred"
"2134",1.2,"California","West","Internet",10,"Not Bulk","10",0.711709717047208
"2135",0.8,"Arizona","West","Personal",10,"Not Bulk","10",0.769748766368869
"2136",0.3,"Texas","South","No Input",10,"Bulk","10",0.708779250836183
"2137",0.5,"Arizona","West","Heard it",10,"Bulk","10",0.744725817043376
"2138",1.5,"Arizona","West","Personal",10,"Not Bulk","10",0.769748766368869
"2139",1,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2140",0.1,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2141",1.1,"Alabama","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2142",1.1,"Oregon","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2143",1,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10",0.831297700117098
"2144",0.4,"California","West","Personal",10,"Not Bulk","10",0.769748766368869
"2145",1,"California","West","Internet",10,"Not Bulk","10",0.711709717047208
"2146",1,"South Carolina","South","No Input",10,"Not Bulk","10",0.795351133909905
"2147",1.2,"Iowa","Midwest","Personal",5,"Not Bulk","5",1.0586698797988
"2148",0.6,"California","West","Personal",5,"Not Bulk","5",1.0586698797988
"2149",0.2,"Maine","Northeast","No Input",5,"Not Bulk","5",1.08427224733984
"2150",1,"North Carolina","South","No Input",5,"Not Bulk","5",1.08427224733984
"2151",1.5,"Georgia","South","Personal",10,"Bulk","10",0.683176883295147
"2152",1,"California","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2153",1.5,"Arizona","West","Internet",10,"Not Bulk","10",0.711709717047208
"2154",1,"Illinois","Midwest","Heard it",10,"Not Bulk","10",0.831297700117098
"2155",2,"Nebraska","Midwest","No Input",10,"Bulk","10",0.708779250836183
"2156",1,"Massachusetts","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
"2157",1,"Massachusetts","Northeast","Personal",10,"Not Bulk","10",0.769748766368869
"2158",0.25,"Texas","South","Heard it",40,"Not Bulk","40",0.689525066035405
"2159",0.6,"Texas","South","Heard it",10,"Bulk","10",0.744725817043376
"2160",1.5,"Virginia","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2161",2,"Colorado","West","Heard it",5,"Not Bulk","5",1.12021881354703
"2162",0.1,"Virginia","South","No Input",10,"Not Bulk","10",0.795351133909905
"2163",0.2,"Nebraska","Midwest","Personal",5,"Not Bulk","5",1.0586698797988
"2164",1,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10",0.795351133909905
